task_id,task_type,assigned_to,asset_type,location,priority,scheduled_time,start_time,completion_time,status,delay_reason,feedback_score,was_missed,expected_duration,actual_duration,technician_experience,asset_age,day_of_week,is_weekend,prev_misses_by_person,prev_misses_by_asset
TASK_00001,Inspection,Tech_04,Generator,Building A - Floor 1,Medium,2025-03-08 11:00:22.960462,2025-03-08 11:21:22.960462,2025-03-08 14:36:22.960462,Completed,,4.0,False,161,195.0,7,9,Saturday,True,5,10
TASK_00002,HVAC Repair,Tech_02,Generator,Building A - Floor 2,High,2025-02-18 11:00:22.960462,,,Scheduled,,,False,91,,3,13,Tuesday,False,6,5
TASK_00003,Inspection,Tech_05,AC Unit,Building A - Floor 2,Low,2025-02-17 11:00:22.960462,2025-02-17 11:10:22.960462,,In Progress,,,False,96,,3,11,Monday,False,9,1
TASK_00004,Cleaning,Tech_03,Fire Alarm,Warehouse,Medium,2025-01-23 11:00:22.960462,2025-01-23 10:56:22.960462,2025-01-23 12:17:22.960462,Completed,,3.0,False,79,81.0,6,10,Thursday,False,6,8
TASK_00005,Plumbing,Tech_01,Fire Alarm,Building B - Floor 1,Low,2025-01-21 11:00:22.960462,,,Scheduled,,,False,112,,10,15,Tuesday,False,6,4
TASK_00006,Cleaning,Tech_01,Pump,Warehouse,Low,2025-01-24 11:00:22.960462,2025-01-24 11:11:22.960462,,Missed,Resource Unavailable,,True,63,,7,11,Friday,False,2,4
TASK_00007,Inspection,Tech_02,Generator,Building B - Floor 1,High,2025-02-16 11:00:22.960462,2025-02-16 11:27:22.960462,2025-02-16 12:33:22.960462,Completed,,4.0,False,47,66.0,2,3,Sunday,True,0,1
TASK_00008,Cleaning,Tech_03,Pump,Warehouse,High,2025-02-04 11:00:22.960462,2025-02-04 11:13:22.960462,,Missed,,,True,167,,6,1,Tuesday,False,8,0
TASK_00009,HVAC Repair,Tech_03,Fire Alarm,Warehouse,Medium,2025-03-02 11:00:22.960462,2025-03-02 11:20:22.960462,2025-03-02 12:53:22.960462,Completed,,3.0,False,99,93.0,10,6,Sunday,True,7,14
TASK_00010,HVAC Repair,Tech_03,Light Fixture,Building A - Floor 1,Low,2025-02-12 11:00:22.960462,2025-02-12 10:49:22.960462,2025-02-12 11:59:22.960462,Completed,,4.0,False,77,70.0,10,10,Wednesday,False,8,6
TASK_00011,Electrical,Tech_01,Fire Alarm,Lobby,High,2025-02-25 11:00:22.960462,2025-02-25 11:20:22.960462,2025-02-25 12:40:22.960462,Completed,,5.0,False,68,80.0,10,2,Tuesday,False,7,15
TASK_00012,Cleaning,Tech_05,Fire Alarm,Building B - Floor 1,Medium,2025-03-07 11:00:22.960462,2025-03-07 11:03:22.960462,2025-03-07 12:01:22.960462,Completed,,3.0,False,30,58.0,9,7,Friday,False,3,14
TASK_00013,HVAC Repair,Tech_01,Pump,Building A - Floor 1,Low,2025-02-09 11:00:22.960462,2025-02-09 11:14:22.960462,2025-02-09 13:20:22.960462,Completed,,3.0,False,130,126.0,8,1,Sunday,True,9,12
TASK_00014,HVAC Repair,Tech_01,Fire Alarm,Lobby,Low,2025-02-03 11:00:22.960462,2025-02-03 10:48:22.960462,2025-02-03 12:07:22.960462,Completed,,4.0,False,63,79.0,8,11,Monday,False,4,3
TASK_00015,Cleaning,Tech_04,Pump,Building A - Floor 1,High,2025-02-05 11:00:22.960462,2025-02-05 11:09:22.960462,,In Progress,,,False,114,,3,14,Wednesday,False,6,2
TASK_00016,HVAC Repair,Tech_04,Generator,Building B - Floor 1,Medium,2025-02-05 11:00:22.960462,2025-02-05 11:11:22.960462,2025-02-05 13:03:22.960462,Completed,,4.0,False,115,112.0,4,10,Wednesday,False,9,1
TASK_00017,Plumbing,Tech_04,AC Unit,Building A - Floor 1,Low,2025-02-08 11:00:22.960462,2025-02-08 11:04:22.960462,2025-02-08 12:54:22.960462,Completed,,5.0,False,81,110.0,2,7,Saturday,True,0,4
TASK_00018,Inspection,Tech_02,Light Fixture,Building A - Floor 2,Medium,2025-03-08 11:00:22.960462,2025-03-08 10:49:22.960462,2025-03-08 12:58:22.960462,Completed,,3.0,False,114,129.0,2,6,Saturday,True,4,14
TASK_00019,HVAC Repair,Tech_02,AC Unit,Building A - Floor 1,Medium,2025-02-15 11:00:22.960462,2025-02-15 11:30:22.960462,2025-02-15 13:23:22.960462,Completed,,5.0,False,91,113.0,2,8,Saturday,True,9,8
TASK_00020,Inspection,Tech_04,Pump,Warehouse,Medium,2025-03-21 11:00:22.960462,2025-03-21 10:49:22.960462,2025-03-21 13:36:22.960462,Completed,,4.0,False,156,167.0,6,3,Friday,False,10,12
TASK_00021,Electrical,Tech_03,Generator,Building B - Floor 1,Medium,2025-02-07 11:00:22.960462,2025-02-07 11:03:22.960462,,Missed,Late Assignment,,True,47,,9,7,Friday,False,7,13
TASK_00022,Inspection,Tech_04,Light Fixture,Building A - Floor 1,Low,2025-03-05 11:00:22.960462,2025-03-05 11:09:22.960462,2025-03-05 13:11:22.960462,Completed,,3.0,False,98,122.0,1,6,Wednesday,False,10,2
TASK_00023,HVAC Repair,Tech_02,Generator,Building B - Floor 1,High,2025-03-18 11:00:22.960462,2025-03-18 11:17:22.960462,2025-03-18 13:08:22.960462,Completed,,5.0,False,108,111.0,9,8,Tuesday,False,6,12
TASK_00024,Inspection,Tech_04,AC Unit,Building A - Floor 2,Medium,2025-02-26 11:00:22.960462,2025-02-26 11:20:22.960462,2025-02-26 12:19:22.960462,Completed,,3.0,False,36,59.0,4,8,Wednesday,False,9,14
