was_missed,expected_duration,actual_duration,technician_experience,asset_age,hour_of_day,month,time_to_start,tasks_per_technician_per_day,avg_duration_per_task_type,miss_rate_per_location,task_type_enc,asset_type_enc,location_enc,assigned_to_enc,priority_enc
False,161,195.0,7,9,11,3,21.0,13,110.25152129817444,0.16403162055335968,3,2,0,3,1
False,91,-1.0,3,13,11,2,0.0,11,100.72881355932203,0.16771488469601678,2,2,1,1,2
False,96,-1.0,3,11,11,2,10.0,3,110.25152129817444,0.16771488469601678,3,0,1,4,0
False,79,81.0,6,10,11,1,-4.0,15,103.75581395348837,0.17870722433460076,0,1,4,2,1
False,112,-1.0,10,15,11,1,0.0,12,105.28260869565217,0.17523809523809525,4,1,2,0,0
True,63,-1.0,7,11,11,1,11.0,14,103.75581395348837,0.17870722433460076,0,4,4,0,0
False,47,66.0,2,3,11,2,27.0,7,110.25152129817444,0.17523809523809525,3,2,2,1,2
True,167,-1.0,6,1,11,2,13.0,8,103.75581395348837,0.17870722433460076,0,4,4,2,2
False,99,93.0,10,6,11,3,20.0,7,100.72881355932203,0.17870722433460076,2,1,4,2,1
False,77,70.0,10,10,11,2,-11.0,8,100.72881355932203,0.16403162055335968,2,3,0,2,0
False,68,80.0,10,2,11,2,20.0,6,103.52264150943397,0.16977225672877846,1,1,3,0,2
False,30,58.0,9,7,11,3,3.0,8,103.75581395348837,0.17523809523809525,0,1,2,4,1
False,130,126.0,8,1,11,2,14.0,11,100.72881355932203,0.16403162055335968,2,4,0,0,0
False,63,79.0,8,11,11,2,-12.0,5,100.72881355932203,0.16977225672877846,2,1,3,0,0
False,114,-1.0,3,14,11,2,9.0,8,103.75581395348837,0.16403162055335968,0,4,0,3,2
False,115,112.0,4,10,11,2,11.0,8,100.72881355932203,0.17523809523809525,2,2,2,3,1
False,81,110.0,2,7,11,2,4.0,8,105.28260869565217,0.16403162055335968,4,0,0,3,0
False,114,129.0,2,6,11,3,-11.0,11,110.25152129817444,0.16771488469601678,3,3,1,1,1
False,91,113.0,2,8,11,2,30.0,12,100.72881355932203,0.16403162055335968,2,0,0,1,1
False,156,167.0,6,3,11,3,-11.0,7,110.25152129817444,0.17870722433460076,3,4,4,3,1
True,47,-1.0,9,7,11,2,3.0,5,103.52264150943397,0.17523809523809525,1,2,2,2,1
False,98,122.0,1,6,11,3,9.0,7,110.25152129817444,0.16403162055335968,3,3,0,3,0
False,108,111.0,9,8,11,3,17.0,12,100.72881355932203,0.17523809523809525,2,2,2,1,2
False,36,59.0,4,8,11,2,20.0,11,110.25152129817444,0.16771488469601678,3,0,1,3,1
False,142,182.0,7,15,11,3,4.0,4,100.72881355932203,0.16771488469601678,2,0,1,0,0
False,116,-1.0,4,4,11,1,19.0,9,100.72881355932203,0.16403162055335968,2,4,0,0,1
False,179,-1.0,4,12,11,3,0.0,6,103.52264150943397,0.16977225672877846,1,4,3,4,1
False,46,83.0,3,10,11,1,29.0,8,110.25152129817444,0.16771488469601678,3,4,1,0,1
True,125,-1.0,2,2,11,2,-6.0,6,105.28260869565217,0.16977225672877846,4,0,3,0,1
False,61,-1.0,7,11,11,1,20.0,10,103.52264150943397,0.16977225672877846,1,1,3,0,0
False,166,164.0,1,13,11,1,19.0,13,103.52264150943397,0.16403162055335968,1,4,0,0,2
False,30,50.0,8,4,11,1,6.0,9,105.28260869565217,0.17870722433460076,4,0,4,2,1
False,171,191.0,9,9,11,1,-4.0,12,105.28260869565217,0.17870722433460076,4,1,4,4,1
False,44,-1.0,5,9,11,3,0.0,9,103.75581395348837,0.16771488469601678,0,3,1,1,2
False,98,-1.0,10,15,11,2,0.0,11,103.52264150943397,0.17870722433460076,1,3,4,1,0
False,143,145.0,3,2,11,3,12.0,11,105.28260869565217,0.16403162055335968,4,2,0,1,2
False,89,-1.0,2,3,11,2,-9.0,5,100.72881355932203,0.16771488469601678,2,4,1,2,1
True,75,-1.0,3,12,11,2,-11.0,9,110.25152129817444,0.17523809523809525,3,2,2,4,1
False,86,-1.0,10,15,11,2,8.0,6,103.75581395348837,0.17870722433460076,0,2,4,0,0
False,81,94.0,6,12,11,2,7.0,8,103.75581395348837,0.16771488469601678,0,1,1,2,1
False,59,55.0,8,10,11,1,30.0,4,110.25152129817444,0.16977225672877846,3,4,3,0,0
False,77,-1.0,4,5,11,2,-11.0,16,105.28260869565217,0.17870722433460076,4,1,4,2,1
False,82,106.0,3,15,11,3,3.0,8,103.52264150943397,0.17523809523809525,1,1,2,3,2
False,56,91.0,3,11,11,3,3.0,10,105.28260869565217,0.17870722433460076,4,4,4,1,1
False,120,151.0,6,6,11,2,-1.0,8,100.72881355932203,0.17523809523809525,2,3,2,0,0
